train_id,train_name,source,destination,distance_km,station_count,station_codes,avg_delay_min,avg_delay_std,avg_delay_min_prev,avg_delay_std_prev,rr_merged_at,rr_station_count,rr_source_endpoint
19955,PINAKINI EXP,KOVH,TOU,770.0,14,"KOVH,KVLS,MGV,SYM,MRK,SIE,GLP,DCU,GJJ,KOU,NDKD,VPL,TPW,TOU",61.466,12.114209838037311,61.466,12.114209838037311,,,
28317,TUNGABHADRA EXP,PDGL,BSPL,480.0,8,"PDGL,KJJ,VGT,KEF,PSA,TNR,TGU,BSPL",84.32000000000001,12.32063107149954,84.32000000000001,12.32063107149954,,,
14065,NARAYANADRI EXP,PDGL,TDD,562.0,12,"PDGL,NRT,TOU,VLV,YLK,TSR,PUA,DIG,RU,VLD,NDPU,TDD",105.26,13.651472448054824,105.26,13.651472448054824,,,
25224,CIRCAR EXPRESS,AKVD,PDU,870.0,13,"AKVD,THY,ASP,DMT,SAB,STVA,TKU,GWM,KJJ,KMQA,PUN,TCNR,PDU",88.312,15.5890176085602,88.312,15.5890176085602,,,
18727,PRASHANTI EXP,ULM,ODUR,477.0,10,"ULM,RLO,HCM,UKD,HVM,BKPT,TKPY,VJA,ANB,ODUR",75.55199999999999,10.541421630880722,75.55199999999999,10.541421630880722,,,
29054,KRISHNA EXPRESS,TNKU,AKAH,780.0,11,"TNKU,BVM,KUMU,MPL,KLKA,PGU,RAM,RMV,KEF,BVO,AKAH",77.534,9.476577968866186,77.534,9.476577968866186,,,
15553,GNT NS EXP,MIPM,SYM,626.0,14,"MIPM,CPL,TIU,NYP,KOU,CKV,BVRM,PUMU,NLS,TNRU,DVD,CU,RPCA,SYM",24.96875,12.348416839315881,66.81,14.666904922307229,2025-12-20T07:12:18.818841Z,16,https://api.railradar.in/api/v1/trains/15553/average-delay
15988,PRASHANTI EXP,GVL,GPY,581.0,10,"GVL,NCE,PSPY,PGRL,NS,YPD,NOSM,SVF,VJA,GPY",57.608,6.84726003595599,57.608,6.84726003595599,,,
26811,AMARAVATI EXP,BTVA,PRDT,907.0,17,"BTVA,RLO,ATP,AKAT,SCM,KNRT,PDL,BMH,NLPD,NG,GVMH,PUMU,DKSA,DVD,RPL,KLKA,PRDT",102.04,12.826427795766053,102.04,12.826427795766053,,,
15390,CHARMINAR EXP,MAG,GPY,905.0,16,"MAG,CCT,KJJ,NUJ,NLPD,PGRL,ANV,ATP,VRVL,PGDI,MOO,PPM,NDKD,PAP,VKZ,GPY",95.17,7.213227432987264,95.17,7.213227432987264,,,
24507,TIRUMALA EXP,BZA,PTT,767.0,15,"BZA,SF,KCI,VPU,RPL,KRY,BVO,RDG,BVRT,NLS,MBL,KPL,TMC,PYA,PTT",79.56,12.29753023984897,79.56,12.29753023984897,,,
29012,SEVEN HILLS EXP,POA,PKD,649.0,13,"POA,HAQ,TPW,BMD,CEL,NLA,CCI,VGH,VND,KPLH,KVR,ANB,PKD",53.20799999999999,13.443502891731754,53.20799999999999,13.443502891731754,,,
21679,CIRCAR EXPRESS,CGI,NML,938.0,16,"CGI,GJJ,PYX,BZA,HAQ,PGU,SF,TNRU,GVL,UNDI,CIV,MOO,PKD,NRE,VND,NML",109.586,12.892708404365628,109.586,12.892708404365628,,,
18638,BNC - HTE WE,BNC,HTE,1884.0,27,"BNC,KJM,JTJ,KPD,CTO,PAK,TPTY,RU,GDR,NLR,BZA,RJY,SLO,VSKP,VZM,VBL,PVP,RGDA,MNGD,KSNG,TIG,BLGR,BRGA,SBP,JSG,ROU,HTE",38.65384615384615,32.31330079524566,132.198,17.807882243545972,2025-12-20T07:12:18.818841Z,26,https://api.railradar.in/api/v1/trains/18638/average-delay
